name,smiles,Density,Vint,Veff,pc
WUBJAG,O=[N+]([O-])O[C@H]1[C@@H]2C[C@H]3[C@@H](O[N+](=O)[O-])[C@H](C[C@@H]1C3([N+](=O)[O-])[N+](=O)[O-])C2([N+](=O)[O-])[N+](=O)[O-],1.852,289.509,392.7565571,0.73712073
JEXMII,O=[N+]([O-])N1CCN([N+](=O)[O-])[C@H]2[C@H]1N([N+](=O)[O-])CCN2[N+](=O)[O-],1.8217,217.182,293.5809528,0.739768701
BOQWUZ,O=C1O[C@H]2[C@@H](O1)N([N+](=O)[O-])CN2[N+](=O)[O-],1.9526,143.824,187.1070789,0.768672147
KUBPOM,O=[N+]([O-])C(=C1NCCCN1[N+](=O)[O-])[N+](=O)[O-],1.7922,160.317,215.9276948,0.742456868
QOYJOD06,O=c1[nH]nc([N+](=O)[O-])[nH]1,1.9145,88.598,112.7704742,0.785648909
WACQEY,O=[N+]([O-])c1cc([N+](=O)[O-])c2ccccc2c1O,1.6459,171.256,236.1178388,0.725298863
UZONOP,Cn1nc([N+](=O)[O-])c(N(CCO[N+](=O)[O-])[N+](=O)[O-])c1[N+](=O)[O-],1.7659,220.046,301.8875868,0.728900457
FUJXEO,NNC(N)=C([N+](=O)[O-])[N+](=O)[O-],1.8194,112.737,148.8042847,0.757619313
JAPKIU,NNc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],1.7751,222.501,511.0781203,0.722952414
KENFUH,O=[N+]([O-])c1nc(-c2nc([N+](=O)[O-])nn2C([N+](=O)[O-])[N+](=O)[O-])n(C([N+](=O)[O-])[N+](=O)[O-])n1,1.9535,284.489,368.9205566,0.771138921
HOCVEA,O=C1C(=O)c2cccc([N+](=O)[O-])c2-c2ccc([N+](=O)[O-])cc21,1.6817,219.697,294.2833479,0.746549207
VOGSUI,O=[N+]([O-])/N=c1\[nH]nc2nncnn12,1.8128,124.63,166.7470965,0.747419311
WERYEX,O=[N+]([O-])N=C1N[C@H]2NC(=N[N+](=O)[O-])N[C@H]2N1,1.8384,155.627,207.8019059,0.748919984
CATJIQ01,O=[N+]([O-])N1CC([N+](=O)[O-])([N+](=O)[O-])CN([N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])C1,1.8697,253.769,341.0781698,0.744020059
DNTNAP10,O=[N+]([O-])c1cccc2cccc([N+](=O)[O-])c12,1.5888,164.108,227.8859491,0.720132157
TENZOD,Nn1nc([N+](=O)[O-])c([N+](=O)[O-])n1,1.8672,117.14,154.7596602,0.756915593
CUFRAZ,Nc1nc(-c2nonc2N[N+](=O)[O-])no1,1.8188,144.931,194.4956765,0.745163094
IDITAR,NC(=O)c1c(C(=O)O)cccc1[N+](=O)[O-],1.6914,152.774,206.2031164,0.74089084
EKELAH,O=[N+]([O-])/N=C1\NCCN1[N+](=O)[O-],1.7454,120.029,166.5301453,0.720764399
COGGAI,O=[N+]([O-])c1ncn(/N=N/n2cnc([N+](=O)[O-])n2)n1,1.8184,173.874,231.9817731,0.749515782
MEDNEQ,O=c1[nH]nc2n1-c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1OC2,1.8111,192.384,255.8374612,0.751977443
CANXIA,O=[N+]([O-])C(CO)(CO)C(CO)(CO)[N+](=O)[O-],1.6889,171.276,236.0368182,0.725632558
NBFURX,O=C1/C(=N/O)Oc2ccc([N+](=O)[O-])cc21,1.6866,149.795,204.8053851,0.731401667
NOXBZA,O=C(OO)c1ccccc1[N+](=O)[O-],1.6133,135.902,188.382602,0.721414815
SUGFOP,O=[N+]([O-])C([C@H](O)[C@H](O)C([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1.8177,180.599,246.6721332,0.732141883
DAVQOH,N#Cc1cc([N+](=O)[O-])cc2c1-c1c(C#N)cc([N+](=O)[O-])cc1C2=O,1.6305,239.03,325.9258951,0.73338757
GIMBOT,O=[N+]([O-])c1cc([N+](=O)[O-])c(/C=C/c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,1.7442,314.656,428.4355328,0.734430214
NAYPAF,O=[N+]([O-])N1[C@H]2O[C@H]3[C@@H]1N([N+](=O)[O-])[C@H]1O[C@@H]2N([N+](=O)[O-])[C@H]1N3[N+](=O)[O-],1.9671,222.259,295.4828709,0.752189118
HEPFUD,Cc1nc2[nH]cnn2c(=O)c1[N+](=O)[O-],1.6583,140.638,195.3097511,0.720076694
OXONOG,O=[N+]([O-])Nc1nonc1[N+](=O)[N-]c1nonc1/N=N/c1nonc1[N-][N+](=O)c1nonc1N[N+](=O)[O-],1.8795,222.499,482.6894234,0.765464958
WADBEK,O=C(Nc1ccc([N+](=O)[O-])cc1)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,1.6536,242.541,333.4448835,0.727379582
MUKCAX,O=[N+]([O-])c1cccc2c(O)n[nH]c12,1.6481,130.79,180.3909659,0.725036308
KEDWUO,Nc1cc(C(=O)O)c([N+](=O)[O-])cc1C(=O)O,1.6865,162.322,222.5515009,0.729368256
NTRACD,O=C(O)C[N+](=O)[O-],1.6882,74.753,103.2894848,0.723723234
KUBPAY,O=[N+]([O-])N1CCN=C1C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.8122,174.777,241.9233235,0.722447912
NOMBEA01,Cc1c([N+](=O)[O-])cc(C(=O)O)cc1[N+](=O)[O-],1.6565,163.47,226.582014,0.721460619
LEHNIW,Cn1c(=O)[nH]cc([N+](=O)[O-])c1=O,1.6774,122.134,169.3150746,0.72134156
PUVSOO,O=[N+]([O-])c1ccc2c(cnn2[N+](=O)[O-])c1,1.6812,148.907,205.4743139,0.724698855
TEDYOT,O=[N+]([O-])/N=c1\[nH]nc(-c2n[nH]/c(=N\[N+](=O)[O-])o2)o1,1.9888,170.302,215.4318972,0.790514321
FEYLUQ01,O=[N+]([O-])N1CCN([N+](=O)[O-])c2nonc21,1.8291,144.756,196.1237664,0.738084948
NUBQOT,O=[N+]([O-])c1cc([N+](=O)[O-])n(-c2nonc2[N+](=O)[O-])n1,1.8156,181.153,247.8586767,0.730872134
SAQZAK,O=[N+]([O-])Cn1nnc([N+](=O)[O-])n1,1.799,118.394,160.6265911,0.737075967
YOPREA,O=c1[nH]c2c([N+](=O)[O-])cccc2c(=O)o1,1.707,147.483,202.3577988,0.728822911
HNIABZ20,O=[N+]([O-])c1cc([N+](=O)[O-])c(/N=N/c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,1.7948,312.307,418.1985052,0.746791287
HIJBAD,O=c1[nH]c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2[nH]c1=O,1.7976,175.092,232.8064792,0.75209247
LAPWOR,O=[N+]([O-])c1cc(-n2cnnn2)cc([N+](=O)[O-])c1[N+](=O)[O-],1.7943,193.864,260.0750414,0.745415627
MUQXIH01,O=C1c2ccccc2C(=O)c2c([N+](=O)[O-])ccc(O)c21,1.6178,201.345,276.1498581,0.729114986
ZUGPUM,O=[N+]([O-])N1C[C@]2([N+](=O)[O-])CN([N+](=O)[O-])C[C@]2([N+](=O)[O-])C1,1.8078,222.369,501.833594,0.735833483
GEMZAZ,O=C1N[C@H]2[C@H](NC(=O)N2[N+](=O)[O-])N1[N+](=O)[O-],1.9924,152.416,193.3804137,0.788166687
INEZUY,Nc1nn(N)nc1[N+](=O)[O-],1.7451,100.582,137.0649909,0.733827065
OLOBIA,N/C(=N\[N+](=O)[O-])N[N+](=O)[O-],1.8834,100.571,131.3901067,0.765438148
CURTER,N#[N+][N-]CN1C2C3N([N+](=O)[O-])C(C4N([N+](=O)[O-])C1C(N4[N+](=O)[O-])N3[N+](=O)[O-])N2[N+](=O)[O-],1.9254,292.65,386.4338692,0.757309396
HOYSEV,O=[N+]([O-])C(c1nonc1Oc1nonc1C([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1.8389,237.907,326.8862544,0.727797504
JEXLUT,O=[N+]([O-])N1C[C@@H]2[C@@H](CN([N+](=O)[O-])CN2[N+](=O)[O-])N([N+](=O)[O-])C1,1.7911,217.034,298.5966287,0.726846786
NBZOAC03,O=C(O)c1ccc([N+](=O)[O-])cc1,1.6102,125.674,172.2497186,0.729603514
PIGLOI,Nc1c([N+](=O)[O-])cc([N+](=O)[O-])c(-n2cnc([N+](=O)[O-])c2[N+](=O)[O-])c1[N+](=O)[O-],1.7595,260.973,362.4204415,0.720083555
WEKGOJ,O=[N+]([O-])c1cc([N+](=O)[O-])nc([N+](=O)[O-])c1,1.75,147.609,203.0652221,0.726904383
YIKBUP,O=[N+]([O-])C1([N+](=O)[O-])CO[C@H](O)[C@H]1O,1.7924,131.004,179.7508712,0.728808707
HNIMOZ,O=[N+]([O-])c1cnc2n1CCO2,1.6677,111.278,154.3730593,0.720838212
DOLTAZ,O=c1c([N+](=O)[O-])c([O-])[nH]c2cccc[n+]12,1.7217,149.863,199.6809585,0.750512223
DEKZEZ,CC(=O)c1c(O)c([N+](=O)[O-])cc([N+](=O)[O-])c1O,1.6955,171.71,237.0358368,0.72440523
TEVDOQ,NC1=NO[N-]/C1=C1\C(c2nonc2[N+](=O)[O-])=NO[N+]1=O,1.8527,190.963,252.7691247,0.755483884
GOVKEH,Cc1cc(=O)n2nc(N)c([N+](=O)[O-])c2[nH]1,1.6686,152.61,208.0525882,0.733516469
CUGCOW,O=[N+]([O-])C12C3C4([N+](=O)[O-])C1([N+](=O)[O-])C1([N+](=O)[O-])C2([N+](=O)[O-])C3([N+](=O)[O-])C41[N+](=O)[O-],2.0235,270.592,343.8210527,0.787014052
CIGSUJ,O=[N+]([O-])OCc1nc(-c2noc(CO[N+](=O)[O-])n2)no1,1.8313,195.925,261.1630245,0.750201911
NUSTIH,O=[N+]([O-])c1cc([N+](=O)[O-])n(-c2nc[nH]n2)n1,1.7414,155.219,214.5836317,0.723349674
BINSAS,Nc1c([N+](=O)[O-])c2[n-]o[n+](=O)c2c2[n-]o[n+](=O)c12,1.9314,169.323,218.3899493,0.775324142
BAKXOB,O=[N+]([O-])c1cc2c(c([N+](=O)[O-])c1)-c1c(cc([N+](=O)[O-])cc1[N+](=O)[O-])C2,1.6944,244.254,339.1161626,0.720266466
YILNOY,O=[N+]([O-])C1=CNc2nnnn2[C@@H]1O,1.7503,126.299,174.6030228,0.723349447
EMAZUO,O=[N+]([O-])c1n[nH]c2c([N+](=O)[O-])cccc12,1.7035,148.498,202.7845122,0.732294584
OCHTET18,O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C1,1.9194,222.366,472.6553981,0.781247778
GEFNAH01,O=c1oc2ccccc2c(O)c1[N+](=O)[O-],1.6609,150.069,206.9793798,0.725043239
GICTIV,O=[N+]([O-])n1cnc(/N=N/c2ncn([N+](=O)[O-])n2)n1,1.8294,174.877,230.5868899,0.758399578
NACXEU01,O=[N+]([O-])[C@]12[C@@H]3[C@]4([N+](=O)[O-])[C@H]1[C@]1([N+](=O)[O-])[C@H]2[C@@]3([N+](=O)[O-])[C@]41[N+](=O)[O-],1.9592,222.365,463.0536807,0.79744387
TEVHEH01,O=[N+]([O-])c1c[nH]c([N+](=O)[O-])n1,1.7891,108.286,146.6588945,0.738352763
OGOYER,NC(N)=C(c1ncnc(N)n1)[N+](=O)[O-],1.7061,142.239,191.8105638,0.741559782
KODJAO,O=C(O)/C=C/c1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1.6359,176.133,241.6164229,0.728977765
CASBOQ01,O=[N+]([O-])c1c[nH]nc1-n1cnnn1,1.7683,128.195,170.0087236,0.754049541
UVEGEJ,O=[N+]([O-])Nc1nonc1C1=NOC(c2nonc2N[N+](=O)[O-])=NO1,1.816,225.54,312.7393596,0.721175615
QIMHID,N#[N+]/N=C(/N)[N-][N+](=O)[O-],1.7004,92.132,126.9805499,0.725559939
PAVZIX,Nc1ccc(C(=O)N/N=C/c2ccccc2[N+](=O)[O-])cc1,1.5473,221.22,304.8933079,0.725565285
UGUGIM,O=[N+]([O-])N1CN([N+](=O)[O-])[C@H]2[C@@H]1N([N+](=O)[O-])CN2[N+](=O)[O-],1.8614,192.209,262.3120473,0.732749418
ABENAX,COC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,1.6907,172.744,237.7087959,0.726704282
GIHFEI,N#Cc1cc([N+](=O)[O-])cc2c1-c1c(cc([N+](=O)[O-])cc1[N+](=O)[O-])C2=O,1.6986,246.147,332.4015556,0.740510975
JABMAD01,O=[N+]([O-])n1cc(-n2cnnn2)cn1,1.7274,128.66,174.0340546,0.739280598
LEQPIJ,O=[N+]([O-])N1C2C3N([N+](=O)[O-])C1C1N([N+](=O)[O-])C(C(N1[N+](=O)[O-])N3[N+](=O)[O-])N2CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.9052,357.738,484.6388323,0.738153809
GULGAV,O=[N+]([O-])c1nc[nH]c1[N+](=O)[O-],1.7804,108.625,147.3755494,0.737062562
LAPVIK,Nc1c([N+](=O)[O-])cc(-n2cnnn2)cc1[N+](=O)[O-],1.7577,177.751,237.1721709,0.749459767
ZUGPOJ,N#Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-],1.6588,143.015,193.2217975,0.740159764
VUCBAW,O=[N+]([O-])C1([N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])C1,1.8305,159.337,214.0980264,0.744224515
COGFUB,O=[N+]([O-])c1ncn(/N=N/n2cnc([N+](=O)[O-])c2[N+](=O)[O-])c1[N+](=O)[O-],1.7668,231.459,321.4481984,0.720050699
NTBZAM01,NC(=O)c1ccc([N+](=O)[O-])cc1,1.5878,127.547,173.6506112,0.734503605
UZOPAD,O=[N+]([O-])OCn1cc([N+](=O)[O-])c([N+](=O)[O-])n1,1.8291,157.713,211.5385669,0.745551992
CUMLEE,Nc1nonc1Nc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],1.7614,214.967,293.2259512,0.733110419
FEKVOG,Nc1c([N+](=O)[O-])c(N)c([N+](=O)[O-])c(-c2c([N+](=O)[O-])c(N)c([N+](=O)[O-])c(N)c2[N+](=O)[O-])c1[N+](=O)[O-],1.8179,324.237,442.1497681,0.733319394
NIOBPH,O=[N+]([O-])c1cc(-c2cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c2)cc([N+](=O)[O-])c1O,1.79,256.715,339.5494616,0.756045964
URODIR,O=[N+]([O-])NCC(N[N+](=O)[O-])C(CN[N+](=O)[O-])N[N+](=O)[O-],1.7837,204.883,277.4917428,0.738339087
QUPSEC,O=C(O)c1ccc([N+](=O)[O-])cc1O,1.6853,133.313,180.334452,0.739254194
CIVVEI10,CC(=O)Oc1cc([N+](=O)[O-])cc2c(=O)[nH]c3c([N+](=O)[O-])cc([N+](=O)[O-])cc3c12,1.6871,276.447,381.9341886,0.723807944
JEHLAJ,O=C1N([N+](=O)[O-])[C@H]2[C@H](N([N+](=O)[O-])CCN2[N+](=O)[O-])N1[N+](=O)[O-],1.9691,210.739,271.5738154,0.775991602
KOMHAV,O=[N+]([O-])c1c[nH]cn1,1.6593,82.703,113.1110753,0.731166243
CUKCAM10,O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,1.6892,151.369,208.417427,0.726278038
KAHHUY,Nc1[nH]nc([N+](=O)[O-])c1[N+](=O)[O-],1.8707,118.575,153.5866398,0.772039809
NIPHAZ,N#[N+][N-]c1ccc([N+](=O)[O-])cc1,1.5724,125.575,173.2344863,0.724884535
HUKTUD,O=[N+]([O-])NCC(CN[N+](=O)[O-])(CN[N+](=O)[O-])CN[N+](=O)[O-],1.7568,217.304,294.9888492,0.736651574
SAWBUN,O=C(O)c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],1.785,176.277,239.0817583,0.737308447
AJOCAG,O=[N+]([O-])/N=c1\[nH]c(Cn2nc([N+](=O)[O-])c([N+](=O)[O-])c2[N+](=O)[O-])no1,1.842,229.05,311.0292735,0.736425859
HUKVAL,O=[N+]([O-])NCC(CN[N+](=O)[O-])N[N+](=O)[O-],1.752,155.058,212.362051,0.730158704
TNITAN,Nc1c([N+](=O)[O-])cc([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],1.8599,184.195,243.7446895,0.755688259
WASRAJ,NNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1.6579,143.365,198.3614241,0.722746374
BINSUM,O=C(NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C(=O)NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.7971,275.463,382.554658,0.720061811
PICRAC,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,1.7712,156.626,214.6977096,0.729518728
IPUPOZ,N#Cc1cc([N+](=O)[O-])c2[n-]o[n+](=O)c2c1,1.6851,148.27,203.0124195,0.730349406
ELIGOX,O=c1n(CO[N+](=O)[O-])c2nc3nonc3nc2n1CO[N+](=O)[O-],1.7917,219.76,304.0140962,0.722861218
IHUFUP04,Nn1c(-c2nc([N+](=O)[O-])c([N+](=O)[O-])n2N)nc([N+](=O)[O-])c1[N+](=O)[O-],1.9493,230.166,293.070264,0.785361152
CUVXOG,O=[N+]([O-])C(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.9073,255.194,336.9342406,0.757400018
JEDSUG,O=C1N([N+](=O)[O-])CCN1[N+](=O)[O-],1.7879,118.906,163.4855259,0.727318209
NIMFOE,O=c1[nH]cc([N+](=O)[O-])c(=O)[nH]1,1.8062,109.111,144.3553968,0.755849815
WANVEP,O=[N+]([O-])OCc1onc(-c2noc(CO[N+](=O)[O-])c2CO[N+](=O)[O-])c1CO[N+](=O)[O-],1.7849,296.785,405.6462296,0.731635051
CIWMAW01,Nc1nc(N)c([N+](=O)[O-])nc1[N+](=O)[O-],1.8106,137.72,183.4578735,0.750690048
EYOVIX,COc1c([N+](=O)[O-])c2nonc2c2nonc12,1.7661,164.065,222.8551511,0.736195682
YOPKIA,O=[N+]([O-])OCCN(c1nc(N(CCO[N+](=O)[O-])[N+](=O)[O-])c([N+](=O)[O-])nc1[N+](=O)[O-])[N+](=O)[O-],1.8131,311.723,428.6567613,0.727208872
JAJBEB,O=[N+]([O-])C1([N+](=O)[O-])[C@H]2[C@H]3[C@H]4[C@@H]1[C@@H]1[C@@H]([C@H]3[C@H]2C1([N+](=O)[O-])[N+](=O)[O-])C4([N+](=O)[O-])[N+](=O)[O-],1.828,273.588,377.9227816,0.723925662
UFUXOI,Nc1c([N+](=O)[O-])n[nH]c1[N+](=O)[O-],1.8991,118.249,151.2898357,0.781605713
TOQMUH01,O=[N+]([O-])/N=c1\cccc[nH]1,1.6237,105.352,142.1979403,0.740882742
UVILAO,Nn1nc([N+](=O)[O-])c2c1c([N+](=O)[O-])nn2N,1.8342,154.833,206.4528597,0.749967814
VEGGUJ,O=C1N([N+](=O)[O-])CN([N+](=O)[O-])CN1[N+](=O)[O-],1.9311,222.451,469.79171,0.786310449
GUTNIS,O=C(O)c1cc([N+](=O)[O-])ccc1O,1.654,133.498,183.7470689,0.726531317
GANTAT01,O=[N+]([O-])c1n[nH]c([N+](=O)[O-])c1Nc1nnc2nncn2n1,1.8263,199.524,266.4497372,0.748824157
QIMGAU,O=c1ccc([N+](=O)[O-])ccc1O,1.6156,125.531,171.6739891,0.731217354
CTMTNA,O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])C1,1.8051,148.516,204.260775,0.727090162
YABTEA,O=C(O)c1cccc2c1Oc1cccc([N+](=O)[O-])c1O2,1.6551,197.644,273.9346237,0.721500617